City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,1,Cherlapally Main Road Hyderabad,9000,900 sqft,House,Semi-Furnished,East,,1,1,Bachelors/Family,Immediately
Hyderabad,2,"Padmarao Nagar, Hyderabad-Karimnagar Highway Hyderabad",35000,1800 sqft,House,Unfurnished,East,,3,1,Bachelors,Immediately
Hyderabad,1,"Kondapur, Hyderabad",17000,199 sqft,Flat,Semi-Furnished,North,,1,,Bachelors/Family,Immediately
Hyderabad,3,"Narsingi, Outer Ring Road, Hyderabad",85000,2200 sqft,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Greenmark Galaxy Apartments, Kondapur, Hyderabad",54000,2000 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,1,Family,Immediately
Hyderabad,3,"VV Nagar, Hyderabad",20000,1500 sqft,Flat,Semi-Furnished,East,,2,1,Bachelors/Family,Immediately
Hyderabad,4,"Hill County, Nizampet, Hyderabad",45000,3000 sqft,Flat,Furnished,East,Garden/Park,5,2,Bachelors,Immediately
Hyderabad,3,Medipalli Hyderabad,20000,1900 sqft,House,Unfurnished,North - East,"Garden/Park, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,3,"Gachibowli, Hyderabad",75000,2200 sqft,Flat,Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,"Auro The Regent, Kondapur, Hyderabad",60000,1231 sqft,Flat,Semi-Furnished,West,,3,2,Bachelors/Family,Immediately
Hyderabad,3,"New Nagole Colony Kothapet, Hyderabad",30000,1100 sqft,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,RTC Colony Chanda nagar Hyderabad,32000,1550 sqft,Apartment,,,,2,2,Family,Immediately
Hyderabad,2,"Puppalguda, Hyderabad",26000,800 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,"Financial District, Nanakram Guda, Hyderabad",70000,1900 sqft,Flat,Semi-Furnished,West,Garden/Park,3,3,Bachelors/Family,Immediately
Hyderabad,2,"Yapral, Hyderabad",18000,1140 sqft,Flat,Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Srisailam Highway, Hyderabad",55000,2060 sqft,Flat,Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",55000,1275 sqft,Flat,Unfurnished,West,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,"Kondapur, Hyderabad",58000,2100 sqft,Flat,Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Aditya Imperial Heights, Aditya Nagar Hafeezpet, Hyderabad",55000,2000 sqft,Flat,Furnished,,,3,3,Bachelors/Family,Immediately
Hyderabad,3,Sainikpuri Hyderabad,29000,1800 sqft,House,Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,"UNM Mahanagar Delux, Hitech City, Hyderabad",47000,1500 sqft,Flat,Semi-Furnished,East,,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Viksha Myra, Kompally, Hyderabad",35000,1720 sqft,Flat,Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Kondapur, Hyderabad",35000,1000 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,"NCC Urban One, Narsingi, Outer Ring Road, Hyderabad",58000,1535 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Srinivasa Anandam, Serilingampalle M, Hyderabad",30000,1710 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Family,Immediately
Hyderabad,3,Beeramguda Ramachandrapuram Hyderabad,20000,1500 sqft,Villa,Semi-Furnished,East,,4,1,Bachelors,Immediately
Hyderabad,3,"Usharam Integra, Brindavan Colony Toli Chowki, Hyderabad",65000,2000 sqft,Flat,Semi-Furnished,North,,3,3,Family,Immediately
Hyderabad,3,"Aparna CyberZon, Nalagandla, Hyderabad",60000,1800 sqft,Flat,Furnished,North - West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,"SMR Vinay Classic, Kondapur, Hyderabad",62000,1300 sqft,Flat,Furnished,,,2,1,Bachelors,Immediately
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",65000,1769 sqft,Flat,Semi-Furnished,,,3,1,Bachelors/Family,Immediately
Hyderabad,3,"Tellapur, Outer Ring Road Hyderabad",50000,2500 sqft,Villa,Semi-Furnished,West,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,2,"Indis One City, Phase 5th KPHB, Hyderabad",45000,1503 sqft,Flat,Semi-Furnished,East,,2,2,Family,Immediately
Hyderabad,3,"EIPL Rivera, Manchirevula, Outer Ring Road, Hyderabad",55000,1800 sqft,Flat,Semi-Furnished,,,3,1,Bachelors/Family,Immediately
Hyderabad,3,"Sunyuga Elegance, Kompally, Hyderabad",23000,1400 sqft,Flat,Semi-Furnished,West,Pool,2,1,Bachelors,Immediately
Hyderabad,4,Velmala Hyderabad,70000,3389 sqft,Villa,Furnished,,,7,1,Bachelors/Family,Immediately
Hyderabad,4,"Lodha Bellezza, Hitech City, Hyderabad",1.8 Lac,4761 sqft,Flat,Furnished,,,6,2,Bachelors/Family,From Feb '26
Hyderabad,1,"Banjara Hills, NH 9, Hyderabad",12500,450 sqft,Flat,Unfurnished,South - East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,"Prestige Ivy League, Hitech City, Hyderabad",65000,1355 sqft,Flat,Furnished,,Garden/Park,2,1,Bachelors/Family,Immediately
Hyderabad,4,"Jubilee Hills, Hyderabad",90000,3200 sqft,Flat,Semi-Furnished,North,Garden/Park,4,3,Bachelors,Immediately
Hyderabad,2,Deen Dayal Nagar A S Rao Nagar Hyderabad,12000,600 sqft,House,Semi-Furnished,North,Main Road,2,2,Bachelors,Immediately
Hyderabad,3,"Bowrampet, Outer Ring Road Hyderabad",26000,2200 sqft,House,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Yapral, Hyderabad",26000,2000 sqft,Flat,Unfurnished,East,Garden/Park,3,4,Bachelors,Immediately
Hyderabad,2,"Khanapur, Hyderabad",18000,600 sqft,Flat,Unfurnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,2,Beeramguda Ramachandrapuram Hyderabad,15000,950 sqft,House,Semi-Furnished,West,,2,1,Family,From Feb '26
Hyderabad,2,"Sharada Nagar Vanasthalipuram, Hyderabad",20000,1000 sqft,Flat,Furnished,West,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,2,"Janapriya Unnati, Isnapur, Outer Ring Road, Hyderabad",11000,500 sqft,Flat,Unfurnished,North,Main Road,2,,Bachelors/Family,Immediately
Hyderabad,2,"venkata Sai nivas, Balkampet, Hyderabad",27000,1200 sqft,Flat,Semi-Furnished,,,2,2,Bachelors/Family,Immediately
Hyderabad,1,Dwarakamayee jpr coloney idpl chintal Hyderabad,7500,450 sqft,House,Unfurnished,East,Main Road,1,1,Bachelors,Immediately
Hyderabad,2,"Aparna Kanopy Yellow Bells, Gundlapochampally, Outer Ring Road, Hyderabad",28000,1362 sqft,Flat,Semi-Furnished,East,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",65000,1910 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Good Luck Assets, Adibatla, Hyderabad",1.1 Lac,500 sqft,Flat,Unfurnished,,,2,2,Bachelors/Family,Immediately
Hyderabad,2,"Sita Heights Asif Nagar, Asif Nagar, Hyderabad",15000,845 sqft,Flat,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Suvela Sai Shradha, Silpa Park, Hyderabad",55000,1451 sqft,Flat,Furnished,North - East,Garden/Park,3,,Family,Immediately
Hyderabad,3,"Riddhis Nest, Hitech City, Hyderabad",55000,1200 sqft,Flat,Furnished,North,,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Movie Towers, Kokapet, Outer Ring Road, Hyderabad",60000,2800 sqft,Flat,Semi-Furnished,,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,"Stellar RNP 1, Kondapur, Hyderabad",65000,1585 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
Hyderabad,10,Aditya Nagar Adibatla Hyderabad,1.5 Lac,6800 sqft,House,Semi-Furnished,North,Main Road,> 10,10,Bachelors,Immediately
Hyderabad,3,"Navya Residency, Nagole, Hyderabad",27000,3200 sqft,Flat,Semi-Furnished,,,2,3,Bachelors/Family,Immediately
Hyderabad,3,"Prajay Megapolis, Hafeezpet, NH 9, Hyderabad",48000,1600 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,1,Bachelors,Immediately
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",75000,1150 sqft,Flat,Semi-Furnished,,,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Hallmark Pinnacle, Kollur, Outer Ring Road, Hyderabad",30000,1285 sqft,Flat,Semi-Furnished,West,,2,1,Bachelors/Family,Immediately
Hyderabad,2,"Friends Colony Jai Hind Nagar Colony, Hyderabad",19000,1100 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Family,Immediately
Hyderabad,10,"Kollur, Outer Ring Road Hyderabad",12 Lac,"50,000 sqft",House,Unfurnished,,,> 10,> 10,Bachelors/Family,Immediately
Hyderabad,3,"Toli Chowki, Hyderabad",45000,2200 sqft,Flat,Furnished,East,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,2,"Phoenix Golf Edge, Gachibowli, Hyderabad",50000,1034 sqft,Flat,Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,1,"Padmavathi Nilayam, Kondapur, Hyderabad",20000,550 sqft,Flat,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,"Banjara Hills, NH 9, Hyderabad",50 Lac,3665 sqft,Flat,Furnished,South,"Garden/Park, Main Road",4,2,Family,Immediately
Hyderabad,3,"Sumadhura Acropolis, Gachibowli, Hyderabad",70000,1745 sqft,Flat,Semi-Furnished,,,3,3,Bachelors/Family,From Mar '26
Hyderabad,2,"Jain Srikar Auroville, Hitech City, Hyderabad",44000,1142 sqft,Flat,Semi-Furnished,,,2,2,Bachelors/Family,Immediately
Hyderabad,2,"Sri Tirumala Avasa, Pocharam, NH 2 2, Hyderabad",15000,1100 sqft,Flat,Semi-Furnished,,,2,2,Bachelors,Immediately
Hyderabad,4,Appa Junction Area Hyderabad,75000,3200 sqft,Villa,Furnished,East,,3,2,Bachelors/Family,Immediately
Hyderabad,3,Gachibowli Hyderabad,67000,2600 sqft,House,Semi-Furnished,,Garden/Park,3,,Family,Immediately
Hyderabad,3,"NCL Sindhu, Kompally, Hyderabad",35000,1890 sqft,Flat,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",3,1,Bachelors/Family,From Feb '26
Hyderabad,3,Sai Enclave Bhola Nagar Hyderabad,29000,1500 sqft,House,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,Nagole Hyderabad,46000,2800 sqft,Villa,Furnished,,"Garden/Park, Pool",3,2,Bachelors,Immediately
Hyderabad,3,"Vineyard Golden Oak, Sainikpuri, Hyderabad",20000,1500 sqft,Flat,Unfurnished,East,,3,1,Bachelors/Family,Immediately
Hyderabad,6,Gachibowli Hyderabad,2.2 Lac,5000 sqft,Villa,Semi-Furnished,North - East,Garden/Park,6,1,Family,Immediately
Hyderabad,4,Kompally Hyderabad,35000,230 sqyrd,Villa,Semi-Furnished,West,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,"Sagar Padma, Bowenpally, Hyderabad",25000,1500 sqft,Flat,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Hyderabad,2,"Lakshmis Shell Serenity, Miyapur, NH 9, Hyderabad",28000,990 sqft,Flat,Furnished,West,"Garden/Park, Main Road",2,1,Bachelors,From Feb '26
Hyderabad,3,"Rajapushpa Atria, Gachibowli, Hyderabad",70000,2490 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,3,Ramakrishnapuram Neredmet Hyderabad,32000,1900 sqft,House,Semi-Furnished,,,3,3,Bachelors/Family,Immediately
Hyderabad,3,"Linga Bhavani Residency, Chanda Nagar, Hyderabad",30000,1286 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
Hyderabad,3,"Masjid Banda Main Road, Hyderabad",62000,1850 sqft,Flat,Furnished,East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Hyderabad,4,"Greater Koneru Kassel, Kondapur, Hyderabad",55000,1450 sqft,Flat,Semi-Furnished,,Main Road,3,2,Bachelors,Immediately
Hyderabad,2,"NLC Anandi, Ameenpur, Hyderabad",15000,1160 sqft,Flat,Unfurnished,East,,2,1,Bachelors/Family,From Feb '26
Hyderabad,2,"Aparna Kanopy Marigold, Kompally, Hyderabad",23000,1350 sqft,Flat,Semi-Furnished,West,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Frontline Seven, Kokapet, Outer Ring Road, Hyderabad",1.1 Lac,1935 sqft,Flat,Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,Navodaya Colony Kukatpally Hyderabad,37000,1500 sqft,House,Semi-Furnished,East,,3,2,Family,Immediately
Hyderabad,4,"Moosapet, NH 9 Hyderabad",75000,2800 sqft,Villa,Semi-Furnished,West,"Garden/Park, Pool, Main Road",4,1,Bachelors/Family,Immediately
Hyderabad,4,"Bliss Castle, Kothaguda, Hyderabad",67000,1550 sqft,Flat,Furnished,North - East,Main Road,4,1,Bachelors,Immediately
Hyderabad,3,"Tellapur, Outer Ring Road Hyderabad",50000,2500 sqft,Villa,Semi-Furnished,,,4,,Bachelors/Family,Immediately
Hyderabad,4,Gowdavalli Hyderabad,36000,3391 sqft,House,Semi-Furnished,East,Main Road,4,1,Family,Immediately
Hyderabad,3,"SS Sreekara Apartment, Uppal, NH 2 2, Hyderabad",25000,1500 sqft,Flat,Semi-Furnished,East,,3,3,Bachelors/Family,Immediately
Hyderabad,3,"Tangrilla Homes, LB Nagar, NH 9, Hyderabad",26000,1605 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"East Villa, Rajiv Gandhi Nagar Colony, Nizampet, Hyderabad",26000,1700 sqft,Flat,Furnished,East,Main Road,3,,Bachelors/Family,Immediately
Hyderabad,3,"Ayyappa Society, Hyderabad",38000,2100 sqft,Flat,Unfurnished,North,,3,1,Bachelors/Family,Immediately
Hyderabad,1,"Royal Colony Humayun Nagar, Hyderabad",10000,750 sqft,Flat,Unfurnished,West,,1,,Family,Immediately
Hyderabad,3,"Greenmark Mayfair Apartments, Tellapur, Outer Ring Road, Hyderabad",56000,2083 sqft,Flat,Semi-Furnished,East,"Main Road, Garden/Park",3,3,Bachelors/Family,From Mar '26
Hyderabad,2,"Kapra Saket Road, Hyderabad",24000,180 sqyrd,Flat,Semi-Furnished,East,,2,1,Family,Immediately
Hyderabad,2,"Praneeth Pranav Flora, Bahadurpally, Hyderabad",22500,980 sqft,Flat,Semi-Furnished,East,Garden/Park,2,,Bachelors/Family,Immediately
Hyderabad,2,"Sunway Opus Grand Neville 3B, Ameenpur, Hyderabad",28000,1101 sqft,Flat,Semi-Furnished,East,,2,,Family,From Feb '26
Hyderabad,4,"Kokapet, Outer Ring Road Hyderabad",2.9 Lac,5100 sqft,Villa,Semi-Furnished,East,Garden/Park,5,1,Bachelors,Immediately
Hyderabad,3,"Chilcon Mayan, Manikonda Jagir, Hyderabad",45000,1700 sqft,Flat,Semi-Furnished,,,3,3,Bachelors/Family,Immediately
Hyderabad,3,Bachupally Hyderabad,25000,1860 sqft,Villa,Semi-Furnished,,,3,1,Bachelors/Family,Immediately
Hyderabad,2,Anand Nagar Colony Hyderabad,15000,650 sqft,House,Semi-Furnished,West,,1,,Bachelors/Family,From Feb '26
Hyderabad,3,"Whitefields, Hyderabad",42000,2000 sqft,Flat,Furnished,East,Garden/Park,3,2,Bachelors,From Feb '26
Hyderabad,2,"Narsingi, Outer Ring Road, Hyderabad",31500,1000 sqft,Flat,Semi-Furnished,,,2,1,Bachelors,Immediately
Hyderabad,3,"Aparna Zenon, Puppalguda, Hyderabad",57000,1200 sqft,Flat,Semi-Furnished,North,Garden/Park,2,2,Bachelors/Family,Immediately
Hyderabad,2,"Prestige High Fields, Financial District, Nanakram Guda, Hyderabad",53000,1000 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,"Pothreddipalle, Hyderabad",12000,1000 sqft,Flat,Unfurnished,North - East,Main Road,2,2,Bachelors/Family,From Jan '26
Hyderabad,2,"Gundlapochampally, Outer Ring Road, Hyderabad",22000,1362 sqft,Flat,Unfurnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",75000,1796 sqft,Flat,Semi-Furnished,East,Main Road,3,,Bachelors,Immediately
Hyderabad,2,"Manoharam Enclave, Nizampet, Hyderabad",19000,1050 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
Hyderabad,2,Kapra Hyderabad,11000,1500 sqft,House,Semi-Furnished,West,,2,3,Bachelors/Family,Immediately
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",70000,1660 sqft,Flat,Semi-Furnished,East,,3,2,Bachelors,Immediately
Hyderabad,2,"Nebula Aavaas, Miyapur, NH 9, Hyderabad",32000,1214 sqft,Flat,Semi-Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,1,Miyapur Main Road Hyderabad,15000,700 sqft,House,Unfurnished,East,,1,3,Bachelors/Family,Immediately
Hyderabad,3,"Riddhis Pebble, Madhapur, Hyderabad",38000,1488 sqft,Flat,Semi-Furnished,North,,3,2,Bachelors,Immediately
Hyderabad,3,"Hyder Nagar, NH 9, Hyderabad",10000,1500 sqft,Flat,Semi-Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"Jayabheri The Nirvana, Gachibowli, Hyderabad",70000,2190 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,1,Bachelors,Immediately
Hyderabad,1,"Greenpark AVENUE, TURKAPALLI village, BOLARUM( Alwal) Hyderabad",7000,1100 sqft,House,Semi-Furnished,,,1,,Bachelors/Family,Immediately
Hyderabad,2,Vidya Nagar Colony Bandam Kommu Hyderabad,17000,1000 sqft,House,Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"SMR Vinay City, Rangapuram Miyapur, Hyderabad",50000,1495 sqft,Flat,Semi-Furnished,East,Garden/Park,2,3,Bachelors,Immediately
Hyderabad,3,"Sri Ram Garden By Jains, Suchitra Road, Hyderabad",55000,1995 sqft,Flat,Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,1,"Hill Fort Road, Hyderabad",12500,800 sqft,Flat,Unfurnished,North - East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,"ASBL Springs, Pocharam, NH 2 2, Hyderabad",25000,1210 sqft,Flat,Semi-Furnished,East,,2,2,Bachelors,From Mar '26
Hyderabad,3,"Auro The Regent, Kondapur, Hyderabad",55000,1686 sqft,Flat,Semi-Furnished,North,,3,1,Bachelors/Family,Immediately
Hyderabad,4,"Nandagiri Hills, Jubilee Hills, Hyderabad",1.5 Lac,3045 sqft,Flat,Furnished,North,Main Road,4,2,Bachelors,From Apr '26
Hyderabad,2,Vijay Puri Colony Hyderabad,21500,1800 sqft,House,Semi-Furnished,,,2,1,Bachelors/Family,From Mar '26
Hyderabad,2,Suncity Hyderabad,20000,150 sqyrd,House,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"GK Pride, Yapral, Hyderabad",35000,1585 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Hyderabad,2,"Red Hills, Lakdikapul, NH 7, Hyderabad",18000,850 sqft,Flat,Unfurnished,North - East,Main Road,2,,Bachelors/Family,Immediately
Hyderabad,3,"Ramky One Harmony, Pragathi Nagar, Kukatpally, Hyderabad",44000,1540 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,3,"Hallmark Treasor, Narsingi, Outer Ring Road, Hyderabad",64000,1700 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,"Phase 5th KPHB, Hyderabad",75000,2300 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",4,4,Bachelors,Immediately
Hyderabad,2,"Chittamma Nagar Colony, Secunderabad Hyderabad",12000,1100 sqft,House,Unfurnished,East,Main Road,2,,Family,Immediately
