,City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
68,Hyderabad,3, ,65000,24000 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Family,From Jan '26
69,Hyderabad,3,Tellapur,48000,1756 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors/Family,Immediately
70,Hyderabad,3,Nalagandla,50000,1510 sqft,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,From Feb '26
71,Hyderabad,1,Banjara Hills,12500,450 sqft,Flat,Unfurnished,South - East,Main Road,1,1,Bachelors/Family,Immediately
72,Hyderabad,3, ,26000,1605 sqft,Flat,Semi-Furnished,West,Main Road,3,1,Family,Immediately
73,Hyderabad,3, ,16000,1600 sqft,House,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
74,Hyderabad,3,Madhapur,60000,1850 sqft,Flat,Semi-Furnished,North - East,Main Road,3,1,Bachelors/Family,Immediately
75,Hyderabad,3,Madhapur,1.1 Lac,2900 sqft,Flat,Semi-Furnished,West,Garden/Park,4,3,Bachelors,Immediately
76,Hyderabad,3,Kokapet,63000,2235 sqft,Flat,Semi-Furnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
77,Hyderabad,2,Narsingi,50000,1325 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,From Feb '26
78,Hyderabad,2,Hitech City,65000,1355 sqft,Flat,Furnished,East,Garden/Park,2,1,Bachelors/Family,Immediately
79,Hyderabad,3, ,35000,1300 sqft,Flat,Semi-Furnished,West,Garden/Park,2,1,Bachelors,Immediately
80,Hyderabad,2,Gachibowli,46000,940 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Family,From Feb '26
81,Hyderabad,3, ,30000,260 sqft,Villa,Furnished,East,Main Road,4,2,Bachelors/Family,Immediately
82,Hyderabad,1, ,18000,700 sqft,Flat,Furnished,East,Garden/Park,1,1,Bachelors,Immediately
83,Hyderabad,2, ,17000,1100 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
84,Hyderabad,4, ,27000,1600 sqft,Flat,Semi-Furnished,East,Main Road,2,Unknown,Bachelors,Immediately
85,Hyderabad,2, ,19800,750 sqft,Flat,Unfurnished,East,Main Road,2,1,Bachelors/Family,Immediately
86,Hyderabad,3, ,24000,1550 sqft,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors,Immediately
87,Hyderabad,3,Kukatpally,30000,1460 sqft,Villa,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
88,Hyderabad,3, ,41000,1320 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",2,2,Bachelors,Immediately
89,Hyderabad,2, ,16000,130 sqyrd,House,Unfurnished,East,Main Road,2,2,Bachelors/Family,Immediately
90,Hyderabad,2, ,8000,1200 sqft,House,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
92,Hyderabad,3,Kokapet,60000,2800 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
93,Hyderabad,3,Jubilee Hills,35000,1550 sqft,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors,Immediately
94,Hyderabad,3,Nalagandla,50000,1800 sqft,Flat,Furnished,East,"Garden/Park, Main Road",3,1,Bachelors,Immediately
95,Hyderabad,3,Gachibowli,67000,2600 sqft,House,Semi-Furnished,East,Garden/Park,3,Unknown,Family,Immediately
97,Hyderabad,3,Gachibowli,78000,2018 sqft,Flat,Furnished,North - East,Main Road,3,4,Bachelors/Family,Immediately
98,Hyderabad,3,Kondapur,65000,1585 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
99,Hyderabad,3,Kokapet,57000,1905 sqft,Flat,Furnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
100,Hyderabad,4,Kokapet,3 Lac,5100 sqft,Villa,Semi-Furnished,East,Garden/Park,5,1,Bachelors,Immediately
101,Hyderabad,2, ,40000,2400 sqft,House,Furnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
102,Hyderabad,4, ,75000,3200 sqft,Villa,Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
103,Hyderabad,1,Nizampet,20000,800 sqft,Villa,Semi-Furnished,East,Garden/Park,1,2,Bachelors,Immediately
104,Hyderabad,3, ,33000,1570 sqft,Flat,Furnished,East,"Garden/Park, Pool",3,1,Bachelors/Family,From Jan '26
105,Hyderabad,1, ,7000,700 sqft,House,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
106,Hyderabad,2,Hitech City,25000,1100 sqft,Flat,Semi-Furnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
107,Hyderabad,3,Manikonda,70000,3000 sqft,Villa,Semi-Furnished,West,"Pool, Main Road",4,Unknown,Family,From Jan '26
108,Hyderabad,3, ,35000,1500 sqft,Flat,Furnished,North,Main Road,3,2,Bachelors/Family,Immediately
109,Hyderabad,4, ,1.2 Lac,3145 sqft,Villa,Furnished,West,Garden/Park,5,3,Family,Immediately
110,Hyderabad,2, ,15000,1000 sqft,House,Unfurnished,East,Main Road,2,Unknown,Family,From Jan '26
111,Hyderabad,3,Miyapur,22000,1300 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
112,Hyderabad,4, ,60000,2500 sqft,Villa,Semi-Furnished,East,Garden/Park,4,2,Bachelors/Family,Immediately
113,Hyderabad,1, ,15000,640 sqft,Flat,Unfurnished,East,Main Road,2,Unknown,Bachelors,Immediately
114,Hyderabad,3, ,42000,1495 sqft,Flat,Semi-Furnished,East,Garden/Park,2,2,Bachelors,From Feb '26
115,Hyderabad,3, ,55000,2500 sqft,Villa,Furnished,East,Main Road,3,3,Bachelors,Immediately
116,Hyderabad,3, ,22000,1100 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
117,Hyderabad,3,Banjara Hills,68500,2300 sqft,Flat,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,Bachelors/Family,Immediately
118,Hyderabad,4, ,80000,3300 sqft,Villa,Furnished,East,Main Road,4,2,Bachelors/Family,Immediately
119,Hyderabad,3,Kondapur,33000,1600 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors,Immediately
120,Hyderabad,2, ,20000,1200 sqft,Flat,Semi-Furnished,West,Main Road,2,2,Family,Immediately
121,Hyderabad,3, ,80000,3300 sqft,Villa,Furnished,West,Garden/Park,5,2,Bachelors/Family,Immediately
122,Hyderabad,3,Secunderabad,35000,1950 sqft,Villa,Furnished,North,Garden/Park,3,3,Bachelors/Family,Immediately
123,Hyderabad,3, ,23000,1900 sqft,Flat,Furnished,East,Main Road,3,3,Family,Immediately
124,Hyderabad,3,Kukatpally,36000,1545 sqft,Flat,Furnished,East,Main Road,3,1,Bachelors,Immediately
125,Hyderabad,3,Secunderabad,35000,1640 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,1,Family,From Jan '26
126,Hyderabad,2, ,15000,750 sqft,House,Unfurnished,East,Main Road,1,1,Bachelors/Family,Immediately
127,Hyderabad,4, ,40000,2418 sqft,Villa,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
128,Hyderabad,4, ,70000,3389 sqft,Villa,Furnished,East,Main Road,7,1,Bachelors/Family,Immediately
129,Hyderabad,2, ,22000,1600 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
130,Hyderabad,3,Hafeezpet,40000,1300 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
131,Hyderabad,2,Secunderabad,13500,800 sqft,Villa,Semi-Furnished,East,"Garden/Park, Main Road",2,1,Bachelors/Family,Immediately
132,Hyderabad,3,Gachibowli,70000,1600 sqft,Flat,Semi-Furnished,West,Main Road,3,1,Bachelors/Family,Immediately
133,Hyderabad,3, ,28000,1000 sqft,Flat,Semi-Furnished,East,Main Road,3,4,Bachelors/Family,Immediately
134,Hyderabad,3, ,22000,1450 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
135,Hyderabad,3,Gachibowli,66000,1800 sqft,Flat,Semi-Furnished,East,Pool,3,2,Bachelors,Immediately
136,Hyderabad,3,Chanda Nagar,54900,1350 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,2,Family,Immediately
137,Hyderabad,3,Nalagandla,47000,1860 sqft,Flat,Semi-Furnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
138,Hyderabad,3,Miyapur,29500,1300 sqft,Flat,Semi-Furnished,West,Garden/Park,2,2,Bachelors,Immediately
139,Hyderabad,2,Financial District,54000,1283 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Bachelors/Family,Immediately
140,Hyderabad,1,Uppal,14000,600 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
141,Hyderabad,2,Chanda Nagar,21000,1100 sqft,Flat,Unfurnished,South,Main Road,2,1,Bachelors,Immediately
142,Hyderabad,4, ,55000,3200 sqft,Villa,Semi-Furnished,East,Garden/Park,5,Unknown,Bachelors/Family,Immediately
143,Hyderabad,4,Miyapur,55000,2000 sqft,House,Semi-Furnished,East,Main Road,4,2,Bachelors,Immediately
144,Hyderabad,2, ,15000,1500 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
145,Hyderabad,2,Chanda Nagar,17500,1100 sqft,House,Semi-Furnished,West,Main Road,2,Unknown,Family,Immediately
146,Hyderabad,4, ,70000,3500 sqft,Villa,Semi-Furnished,East,Main Road,4,Unknown,Bachelors/Family,Immediately
147,Hyderabad,3, ,34000,1500 sqft,Flat,Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
148,Hyderabad,2,Shamshabad,18000,1250 sqft,House,Unfurnished,East,Main Road,2,1,Bachelors,Immediately
149,Hyderabad,3,Malakpet,26000,1250 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
150,Hyderabad,3,Kukatpally,28000,1700 sqft,Flat,Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
151,Hyderabad,2, ,22000,803 sqft,Flat,Semi-Furnished,North - East,Main Road,2,2,Bachelors,Immediately
152,Hyderabad,2,Bachupally,25000,950 sqft,Flat,Furnished,West,Main Road,2,1,Bachelors/Family,Immediately
153,Hyderabad,3,Kompally,45000,1700 sqft,Flat,Furnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
154,Hyderabad,1,Madhapur,14000,710 sqft,Flat,Furnished,North - East,"Pool, Garden/Park, Main Road",2,1,Bachelors,Immediately
155,Hyderabad,3, ,36000,1425 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",2,2,Bachelors/Family,Immediately
156,Hyderabad,5, ,50000,2700 sqft,House,Furnished,East,Main Road,3,1,Bachelors/Family,From Apr '26
157,Hyderabad,3,Narsingi,55000,1593 sqft,Flat,Furnished,East,Garden/Park,2,2,Bachelors,Immediately
158,Hyderabad,3, ,55000,3800 sqft,Villa,Semi-Furnished,West,Garden/Park,4,3,Bachelors,From Feb '26
159,Hyderabad,3, ,25000,1850 sqft,House,Semi-Furnished,East,Main Road,2,Unknown,Bachelors/Family,From Feb '26
160,Hyderabad,3, ,40000,1800 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,From Jan '26
161,Hyderabad,3,Miyapur,32000,100 sqft,Flat,Furnished,North - East,Garden/Park,3,3,Bachelors,Immediately
162,Hyderabad,1,Jubilee Hills,6500,150 sqft,Flat,Unfurnished,North - East,Main Road,1,Unknown,Bachelors/Family,Immediately
163,Hyderabad,2,Nanakramguda,36000,1000 sqft,Flat,Semi-Furnished,North,Main Road,2,1,Bachelors,Immediately
164,Hyderabad,1, ,20000,1000 sqft,Flat,Unfurnished,East,Main Road,1,1,Bachelors/Family,Immediately
165,Hyderabad,3,Narsingi,80000,2660 sqft,Flat,Semi-Furnished,East,"Main Road, Garden/Park, Pool",3,3,Bachelors/Family,Immediately
166,Hyderabad,2, ,36000,980 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
167,Hyderabad,2, ,20000,1500 sqft,House,Unfurnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
168,Hyderabad,3, ,27000,1650 sqft,Flat,Semi-Furnished,West,Main Road,2,3,Bachelors,Immediately
169,Hyderabad,1, ,6500,550 sqft,Flat,Semi-Furnished,East,Main Road,1,Unknown,Bachelors/Family,Immediately
170,Hyderabad,3, ,50000,2500 sqft,House,Unfurnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
171,Hyderabad,1, ,8000,700 sqft,Flat,Unfurnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
172,Hyderabad,3,Nalagandla,65000,1910 sqft,Flat,Semi-Furnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
173,Hyderabad,3, ,27000,1500 sqft,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
174,Hyderabad,3, ,45000,2000 sqft,Flat,Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
175,Hyderabad,3, ,72000,2100 sqft,Flat,Furnished,East,Main Road,3,2,Bachelors,Immediately
176,Hyderabad,3, ,50000,1234 sqft,Flat,Furnished,West,"Garden/Park, Main Road",3,1,Bachelors/Family,From Jan '26
177,Hyderabad,3,Narsingi,68000,1400 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
178,Hyderabad,3, ,45000,1960 sqft,Flat,Semi-Furnished,North - East,Main Road,3,3,Family,Immediately
179,Hyderabad,3, ,28000,1000 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
180,Hyderabad,2,Gachibowli,60000,1250 sqft,Flat,Furnished,East,"Main Road, Garden/Park, Pool",2,2,Bachelors,Immediately
181,Hyderabad,4,Tellapur,1.3 Lac,3223 sqft,Villa,Semi-Furnished,West,Main Road,4,1,Bachelors,Immediately
182,Hyderabad,2, ,22000,1000 sqft,House,Semi-Furnished,East,"Garden/Park, Main Road",2,Unknown,Bachelors/Family,Immediately
183,Hyderabad,3, ,70000,1969 sqft,Flat,Semi-Furnished,East,Main Road,3,Unknown,Bachelors/Family,Immediately
184,Hyderabad,2, ,30000,850 sqft,House,Unfurnished,North - East,Main Road,2,1,Bachelors/Family,Immediately
185,Hyderabad,2,Manikonda,25000,120 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
186,Hyderabad,2, ,15000,2500 sqft,House,Unfurnished,East,Main Road,2,1,Bachelors/Family,Immediately
187,Hyderabad,1, ,26000,500 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
188,Hyderabad,2,Begumpet,20000,1100 sqft,Flat,Unfurnished,North - East,Main Road,2,1,Bachelors/Family,Immediately
189,Hyderabad,3,Narsingi,40000,1717 sqft,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
190,Hyderabad,3,Narsingi,1.3 Lac,1950 sqft,Flat,Furnished,West,"Garden/Park, Main Road",3,4,Bachelors/Family,Immediately
191,Hyderabad,4, ,50000,350 sqyrd,Villa,Furnished,East,"Main Road, Garden/Park",5,3,Bachelors/Family,Immediately
192,Hyderabad,2, ,27000,1100 sqft,Flat,Semi-Furnished,North - East,Main Road,2,2,Bachelors/Family,Immediately
193,Hyderabad,3,Gachibowli,75000,2000 sqft,Flat,Furnished,East,Garden/Park,3,1,Family,Immediately
194,Hyderabad,3, ,32000,1740 sqft,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
195,Hyderabad,3, ,47000,1700 sqft,Flat,Semi-Furnished,East,Garden/Park,3,Unknown,Bachelors/Family,Immediately
196,Hyderabad,3,Nizampet,25000,1360 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors,Immediately
197,Hyderabad,2, ,30000,1000 sqft,Flat,Furnished,West,Main Road,2,3,Bachelors/Family,Immediately
198,Hyderabad,2, ,10000,1200 sqft,House,Unfurnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
199,Hyderabad,3,Narsingi,60000,1450 sqft,Flat,Semi-Furnished,West,Main Road,3,1,Bachelors,Immediately
200,Hyderabad,1, ,9000,900 sqft,House,Unfurnished,East,Main Road,1,1,Bachelors/Family,Immediately
201,Hyderabad,2,Kompally,15000,850 sqft,Flat,Unfurnished,West,"Garden/Park, Pool, Main Road",2,2,Bachelors/Family,Immediately
202,Hyderabad,2, ,21000,1550 sqft,Flat,Furnished,North - East,Main Road,2,2,Bachelors/Family,Immediately
203,Hyderabad,2, ,22000,1000 sqft,Flat,Furnished,North - East,Main Road,2,2,Bachelors,Immediately
204,Hyderabad,3,Tellapur,50000,1500 sqft,Flat,Semi-Furnished,West,"Garden/Park, Main Road",2,1,Bachelors,Immediately
205,Hyderabad,2,Financial District,26000,1100 sqft,House,Unfurnished,East,"Garden/Park, Main Road",3,1,Bachelors,Immediately
206,Hyderabad,3, ,32000,1400 sqft,Flat,Semi-Furnished,North - East,Main Road,3,2,Bachelors/Family,Immediately
207,Hyderabad,3,Kondapur,1.4 Lac,2000 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",4,1,Bachelors,Immediately
208,Hyderabad,2, ,24000,1000 sqft,Villa,Semi-Furnished,East,"Garden/Park, Pool, Main Road",2,2,Bachelors,Immediately
209,Hyderabad,2,Secunderabad,14999,800 sqft,Flat,Unfurnished,North,Main Road,1,1,Bachelors/Family,Immediately
210,Hyderabad,2,Chanda Nagar,22000,900 sqft,Flat,Semi-Furnished,North,Main Road,2,Unknown,Bachelors,Immediately
211,Hyderabad,2, ,20000,1100 sqft,House,Semi-Furnished,North - East,Main Road,2,1,Bachelors/Family,Immediately
212,Hyderabad,2,Secunderabad,18000,1200 sqft,House,Semi-Furnished,East,"Garden/Park, Main Road",2,Unknown,Bachelors/Family,Immediately
213,Hyderabad,3,Kondapur,72000,2410 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,3,Bachelors/Family,Immediately
214,Hyderabad,3, ,36000,1200 sqft,Flat,Furnished,East,Main Road,2,1,Family,Immediately
215,Hyderabad,3, ,20000,1300 sqft,House,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
216,Hyderabad,4, ,55000,2400 sqft,Villa,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors,Immediately
217,Hyderabad,2,Bachupally,27500,800 sqft,Flat,Furnished,West,"Garden/Park, Main Road",2,2,Bachelors,Immediately
218,Hyderabad,2, ,24000,1200 sqft,House,Semi-Furnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
219,Hyderabad,2,Bachupally,25000,1445 sqft,Flat,Furnished,South,Main Road,2,Unknown,Bachelors,Immediately
220,Hyderabad,2, ,11500,1200 sqft,Villa,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
