City,BHK,Location,Price,Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,3,Hafeezpet,45000,2020,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,1,Kondapur,8000,504,House,Unfurnished,North,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,25000,1200,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,2,Kondapur,32000,1150,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,1,Bachelors,Immediately
Hyderabad,3,Kokapet,70000,1796,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,3,Kondapur,70000,2567,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,2,Bachelors,From Feb '26
Hyderabad,3,Hitech City,55000,2000,Flat,Semi-Furnished,North,Garden/Park,3,1,Family,Immediately
Hyderabad,2,Kondapur,15000,1000,House,Unfurnished,East,"Garden/Park, Main Road",2,1,Bachelors,Immediately
Hyderabad,3,Nalagandla,60000,1895,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,Kokapet,78000,2124,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
